❯ k get svc -A
NAMESPACE                                  NAME                                                              TYPE           CLUSTER-IP       EXTERNAL-IP                                  PORT(S)                                                                            AGE
vcluster--usdf-butler-dev                  embargo-db-rw-x-embargo-dev-x-vcluster--usdf-butler-dev           ClusterIP      10.108.152.233   <none>                                       5432/TCP                                                                           99d
vcluster--usdf-butler-dev                  embargo-db-ss-rw-svc-old-x-embargo-dev-x-vcluster--u-8f39bb8f82   LoadBalancer   10.97.27.202     172.24.5.175                                 5432/TCP                                                                           98d
vcluster--usdf-butler-dev                  embargo-db-ss-rw-svc-x-embargo-dev-x-vcluster--usdf-butler-dev    LoadBalancer   10.104.142.244   172.24.10.62                                 5432/TCP                                                                           99d
vcluster--usdf-butler-dev                  embargo-db-ss-rw-x-embargo-dev-x-vcluster--usdf-butler-dev        ClusterIP      10.102.117.194   <none>                                       5432/TCP                                                                           99d
vcluster--usdf-butler-dev                  embargo-db-svc-old-x-embargo-dev-x-vcluster--usdf-butler-dev      LoadBalancer   10.97.184.90     172.24.5.191                                 5432/TCP                                                                           98d
vcluster--usdf-butler-dev                  embargo-db-svc-x-embargo-dev-x-vcluster--usdf-butler-dev          LoadBalancer   10.96.167.3      172.24.10.64                                 5432/TCP                                                                           98d
vcluster--usdf-butler-dev                  embargo-db-tx-rw-svc-old-x-embargo-dev-x-vcluster--u-f35d24ae7b   LoadBalancer   10.102.222.73    172.24.5.170                                 5432/TCP                                                                           98d
vcluster--usdf-butler-dev                  embargo-db-tx-rw-svc-x-embargo-dev-x-vcluster--usdf-butler-dev    LoadBalancer   10.111.24.6      172.24.10.23                                 5432/TCP                                                                           99d
vcluster--usdf-butler-dev                  embargo-db-tx-rw-x-embargo-dev-x-vcluster--usdf-butler-dev        ClusterIP      10.99.67.225     <none>                                       5432/TCP                                                                           99d
vcluster--usdf-butler-dev                  gangway                                                           ClusterIP      10.100.108.157   <none>                                       8080/TCP                                                                           3y134d
vcluster--usdf-butler-dev                  kube-dns-x-kube-system-x-vcluster--usdf-butler-dev                ClusterIP      10.109.89.183    <none>                                       53/UDP,53/TCP,9153/TCP                                                             3y134d
vcluster--usdf-butler-dev                  metrics-server-x-kube-system-x-vcluster--usdf-butler-dev          ExternalName   <none>           localhost                                    9001/TCP                                                                           216d
vcluster--usdf-butler-dev                  metrics-service-x-kube-system-x-vcluster--usdf-butler-dev         ExternalName   <none>           localhost                                    8443/TCP                                                                           531d
vcluster--usdf-butler-dev                  pgadmin-service-x-embargo-dev-x-vcluster--usdf-butler-dev         ClusterIP      10.100.251.125   <none>                                       80/TCP                                                                             508d
vcluster--usdf-butler-dev                  usdf-butler-misc-pooler-session-rw-x-misc-dev-x-vclu-5454993cdc   LoadBalancer   10.99.24.114     172.24.5.235                                 5432:31395/TCP                                                                     512d
vcluster--usdf-butler-dev                  usdf-butler-misc-pooler-transaction-rw-x-misc-dev-x--1300bc23b9   LoadBalancer   10.105.149.46    172.24.5.237                                 5432:31016/TCP                                                                     512d
vcluster--usdf-butler-dev                  usdf-butler-misc-r-x-misc-dev-x-vcluster--usdf-butler-dev         ClusterIP      10.108.132.242   <none>                                       5432/TCP                                                                           512d
vcluster--usdf-butler-dev                  usdf-butler-misc-ro-x-misc-dev-x-vcluster--usdf-butler-dev        ClusterIP      10.100.124.117   <none>                                       5432/TCP                                                                           512d
vcluster--usdf-butler-dev                  usdf-butler-misc-rw-x-misc-dev-x-vcluster--usdf-butler-dev        ClusterIP      10.105.8.209     <none>                                       5432/TCP                                                                           512d
vcluster--usdf-butler-dev                  usdf-butler-misc-svc-x-misc-dev-x-vcluster--usdf-butler-dev       LoadBalancer   10.101.249.5     172.24.5.244                                 5432:31001/TCP                                                                     512d
vcluster--usdf-butler-dev                  usdf-butler-pooler-session-rw-x-dev-x-vcluster--usdf-butler-dev   ClusterIP      10.107.192.173   <none>                                       5432/TCP                                                                           537d
vcluster--usdf-butler-dev                  usdf-butler-pooler-transaction-rw-x-dev-x-vcluster---c50c6bf9b8   ClusterIP      10.107.145.29    <none>                                       5432/TCP                                                                           537d
vcluster--usdf-butler-dev                  usdf-butler-postgres-direct-x-dev-x-vcluster--usdf-butler-dev     LoadBalancer   10.104.152.90    172.24.5.215                                 5432:32187/TCP                                                                     705d
vcluster--usdf-butler-dev                  usdf-butler-r-x-dev-x-vcluster--usdf-butler-dev                   ClusterIP      10.102.40.8      <none>                                       5432/TCP                                                                           561d
vcluster--usdf-butler-dev                  usdf-butler-ro-x-dev-x-vcluster--usdf-butler-dev                  ClusterIP      10.107.3.151     <none>                                       5432/TCP                                                                           561d
vcluster--usdf-butler-dev                  usdf-butler-rw-x-dev-x-vcluster--usdf-butler-dev                  ClusterIP      10.96.154.65     <none>                                       5432/TCP                                                                           561d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev                                         ClusterIP      10.100.212.115   <none>                                       443/TCP,10250/TCP                                                                  3y134d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-etcd                                    ClusterIP      10.110.1.229     <none>                                       2379/TCP,2380/TCP                                                                  3y134d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-etcd-headless                           ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  3y134d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc002                         ClusterIP      10.107.251.248   <none>                                       10250/TCP                                                                          26h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc006                         ClusterIP      10.111.239.80    <none>                                       10250/TCP                                                                          16d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc007                         ClusterIP      10.108.21.184    <none>                                       10250/TCP                                                                          22d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc008                         ClusterIP      10.102.157.94    <none>                                       10250/TCP                                                                          22d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc009                         ClusterIP      10.101.147.71    <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc012                         ClusterIP      10.98.124.229    <none>                                       10250/TCP                                                                          22d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc013                         ClusterIP      10.111.138.189   <none>                                       10250/TCP                                                                          22d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc016                         ClusterIP      10.102.62.77     <none>                                       10250/TCP                                                                          26h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc023                         ClusterIP      10.96.154.141    <none>                                       10250/TCP                                                                          48d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc024                         ClusterIP      10.97.88.79      <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc025                         ClusterIP      10.98.27.82      <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc026                         ClusterIP      10.98.22.240     <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc031                         ClusterIP      10.106.66.161    <none>                                       10250/TCP                                                                          48d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc035                         ClusterIP      10.103.243.187   <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc037                         ClusterIP      10.102.72.215    <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc039                         ClusterIP      10.111.46.206    <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc040                         ClusterIP      10.108.61.0      <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc046                         ClusterIP      10.109.97.18     <none>                                       10250/TCP                                                                          51d
vcluster--usdf-butler-dev                  vcluster--usdf-butler-dev-node-sdfk8sc052                         ClusterIP      10.105.146.221   <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dp1                  barman-cloud-x-cnpg-system-x-vcluster--usdf-butler-dp1            ClusterIP      10.97.176.109    <none>                                       9090/TCP                                                                           84d
vcluster--usdf-butler-dp1                  cnpg-webhook-service-x-cnpg-system-x-vcluster--usdf-butler-dp1    ClusterIP      10.109.197.221   <none>                                       443/TCP                                                                            84d
vcluster--usdf-butler-dp1                  dp1-db-r-x-dp1-prod-x-vcluster--usdf-butler-dp1                   ClusterIP      10.110.62.207    <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp1                  dp1-db-ro-x-dp1-prod-x-vcluster--usdf-butler-dp1                  ClusterIP      10.111.214.42    <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp1                  dp1-db-rw-x-dp1-prod-x-vcluster--usdf-butler-dp1                  ClusterIP      10.111.92.99     <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp1                  dp1-db-ss-rw-svc-x-dp1-prod-x-vcluster--usdf-butler-dp1           LoadBalancer   10.97.215.90     172.24.10.16                                 5432/TCP                                                                           84d
vcluster--usdf-butler-dp1                  dp1-db-ss-rw-x-dp1-prod-x-vcluster--usdf-butler-dp1               ClusterIP      10.105.207.9     <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp1                  dp1-db-svc-x-dp1-prod-x-vcluster--usdf-butler-dp1                 LoadBalancer   10.100.72.243    172.24.10.18                                 5432/TCP                                                                           84d
vcluster--usdf-butler-dp1                  dp1-db-tx-rw-svc-x-dp1-prod-x-vcluster--usdf-butler-dp1           LoadBalancer   10.96.50.104     172.24.10.12                                 5432/TCP                                                                           84d
vcluster--usdf-butler-dp1                  dp1-db-tx-rw-x-dp1-prod-x-vcluster--usdf-butler-dp1               ClusterIP      10.103.40.138    <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp1                  gangway                                                           ClusterIP      10.101.34.148    <none>                                       8080/TCP                                                                           84d
vcluster--usdf-butler-dp1                  kube-dns-x-kube-system-x-vcluster--usdf-butler-dp1                ClusterIP      10.109.249.192   <none>                                       53/UDP,53/TCP,9153/TCP                                                             84d
vcluster--usdf-butler-dp1                  metrics-server-x-kube-system-x-vcluster--usdf-butler-dp1          ExternalName   <none>           localhost                                    9001/TCP                                                                           84d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1                                         ClusterIP      10.103.234.16    <none>                                       443/TCP,10250/TCP                                                                  84d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-etcd                                    ClusterIP      10.96.62.60      <none>                                       2379/TCP,2380/TCP                                                                  84d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-etcd-headless                           ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  84d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc005                         ClusterIP      10.109.235.120   <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc006                         ClusterIP      10.111.137.245   <none>                                       10250/TCP                                                                          23d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc013                         ClusterIP      10.101.188.127   <none>                                       10250/TCP                                                                          20d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc024                         ClusterIP      10.110.37.176    <none>                                       10250/TCP                                                                          50d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc026                         ClusterIP      10.101.142.168   <none>                                       10250/TCP                                                                          56d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc029                         ClusterIP      10.101.95.232    <none>                                       10250/TCP                                                                          48d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc035                         ClusterIP      10.109.238.75    <none>                                       10250/TCP                                                                          65d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc037                         ClusterIP      10.97.49.147     <none>                                       10250/TCP                                                                          65d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc040                         ClusterIP      10.103.131.19    <none>                                       10250/TCP                                                                          50d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc041                         ClusterIP      10.109.246.176   <none>                                       10250/TCP                                                                          64d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc045                         ClusterIP      10.110.132.130   <none>                                       10250/TCP                                                                          33d
vcluster--usdf-butler-dp1                  vcluster--usdf-butler-dp1-node-sdfk8sc048                         ClusterIP      10.105.189.210   <none>                                       10250/TCP                                                                          8h
vcluster--usdf-butler-dp2-prep             barman-cloud-x-cnpg-system-x-vcluster--usdf-butler-dp2-prep       ClusterIP      10.109.239.146   <none>                                       9090/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             cnpg-webhook-service-x-cnpg-system-x-vcluster--usdf--ec00c258cd   ClusterIP      10.98.174.105    <none>                                       443/TCP                                                                            84d
vcluster--usdf-butler-dp2-prep             dp2-prep-db-r-x-dp2-prep-prod-x-vcluster--usdf-butler-dp2-prep    ClusterIP      10.100.210.225   <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             dp2-prep-db-ro-x-dp2-prep-prod-x-vcluster--usdf-butler-dp2-prep   ClusterIP      10.107.204.244   <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             dp2-prep-db-rw-x-dp2-prep-prod-x-vcluster--usdf-butler-dp2-prep   ClusterIP      10.100.245.16    <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             dp2-prep-db-ss-rw-svc-x-dp2-prep-prod-x-vcluster--us-094f4dc261   LoadBalancer   10.108.186.54    172.24.10.72                                 5432/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             dp2-prep-db-ss-rw-x-dp2-prep-prod-x-vcluster--usdf-b-a916fd48b2   ClusterIP      10.106.254.112   <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             dp2-prep-db-svc-x-dp2-prep-prod-x-vcluster--usdf-but-e91cb0540e   LoadBalancer   10.107.234.160   172.24.10.73                                 5432/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             dp2-prep-db-tx-rw-svc-x-dp2-prep-prod-x-vcluster--us-fd82fc42eb   LoadBalancer   10.103.191.226   172.24.10.71                                 5432/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             dp2-prep-db-tx-rw-x-dp2-prep-prod-x-vcluster--usdf-b-2792f231ca   ClusterIP      10.103.230.146   <none>                                       5432/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             gangway                                                           ClusterIP      10.110.164.230   <none>                                       8080/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             kube-dns-x-kube-system-x-vcluster--usdf-butler-dp2-prep           ClusterIP      10.101.218.7     <none>                                       53/UDP,53/TCP,9153/TCP                                                             84d
vcluster--usdf-butler-dp2-prep             metrics-server-x-kube-system-x-vcluster--usdf-butler-dp2-prep     ExternalName   <none>           localhost                                    9001/TCP                                                                           84d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep                                    ClusterIP      10.99.33.68      <none>                                       443/TCP,10250/TCP                                                                  84d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-etcd                               ClusterIP      10.110.153.184   <none>                                       2379/TCP,2380/TCP                                                                  84d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-etcd-headless                      ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  84d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc009                    ClusterIP      10.96.22.245     <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc017                    ClusterIP      10.110.32.145    <none>                                       10250/TCP                                                                          8h
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc023                    ClusterIP      10.111.133.8     <none>                                       10250/TCP                                                                          34d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc024                    ClusterIP      10.104.70.75     <none>                                       10250/TCP                                                                          8h
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc027                    ClusterIP      10.110.161.123   <none>                                       10250/TCP                                                                          55d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc031                    ClusterIP      10.103.210.200   <none>                                       10250/TCP                                                                          48d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc035                    ClusterIP      10.101.248.146   <none>                                       10250/TCP                                                                          65d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc041                    ClusterIP      10.98.158.215    <none>                                       10250/TCP                                                                          64d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc046                    ClusterIP      10.98.91.146     <none>                                       10250/TCP                                                                          26d
vcluster--usdf-butler-dp2-prep             vcluster--usdf-butler-dp2-prep-node-sdfk8sc052                    ClusterIP      10.108.226.250   <none>                                       10250/TCP                                                                          33d
vcluster--usdf-butler-main-dev             barman-cloud-x-cnpg-system-x-vcluster--usdf-butler-main-dev       ClusterIP      10.98.169.10     <none>                                       9090/TCP                                                                           142d
vcluster--usdf-butler-main-dev             cnpg-webhook-service-x-cnpg-system-x-vcluster--usdf--39f3e849b5   ClusterIP      10.97.95.21      <none>                                       443/TCP                                                                            142d
vcluster--usdf-butler-main-dev             gangway                                                           ClusterIP      10.105.131.29    <none>                                       8080/TCP                                                                           142d
vcluster--usdf-butler-main-dev             kube-dns-x-kube-system-x-vcluster--usdf-butler-main-dev           ClusterIP      10.97.79.26      <none>                                       53/UDP,53/TCP,9153/TCP                                                             142d
vcluster--usdf-butler-main-dev             main-db-r-x-main-dev-x-vcluster--usdf-butler-main-dev             ClusterIP      10.108.213.201   <none>                                       5432/TCP                                                                           142d
vcluster--usdf-butler-main-dev             main-db-ro-x-main-dev-x-vcluster--usdf-butler-main-dev            ClusterIP      10.99.47.143     <none>                                       5432/TCP                                                                           142d
vcluster--usdf-butler-main-dev             main-db-rw-x-main-dev-x-vcluster--usdf-butler-main-dev            ClusterIP      10.101.60.79     <none>                                       5432/TCP                                                                           142d
vcluster--usdf-butler-main-dev             metrics-server-x-kube-system-x-vcluster--usdf-butler-main-dev     ExternalName   <none>           localhost                                    9001/TCP                                                                           142d
vcluster--usdf-butler-main-dev             vcluster--usdf-butler-main-dev                                    ClusterIP      10.107.146.125   <none>                                       443/TCP,10250/TCP                                                                  142d
vcluster--usdf-butler-main-dev             vcluster--usdf-butler-main-dev-etcd                               ClusterIP      10.111.62.65     <none>                                       2379/TCP,2380/TCP                                                                  142d
vcluster--usdf-butler-main-dev             vcluster--usdf-butler-main-dev-etcd-headless                      ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  142d
vcluster--usdf-butler-main-dev             vcluster--usdf-butler-main-dev-node-sdfk8sc005                    ClusterIP      10.110.91.74     <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-main-dev             vcluster--usdf-butler-main-dev-node-sdfk8sc009                    ClusterIP      10.103.205.185   <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-main-dev             vcluster--usdf-butler-main-dev-node-sdfk8sc031                    ClusterIP      10.105.186.23    <none>                                       10250/TCP                                                                          8h
vcluster--usdf-butler-main-dev             vcluster--usdf-butler-main-dev-node-sdfk8sc035                    ClusterIP      10.96.112.180    <none>                                       10250/TCP                                                                          65d
vcluster--usdf-butler-main-dev             vcluster--usdf-butler-main-dev-node-sdfk8sc046                    ClusterIP      10.104.29.16     <none>                                       10250/TCP                                                                          50d
vcluster--usdf-butler-main-dev             vcluster--usdf-butler-main-dev-node-sdfk8sc048                    ClusterIP      10.110.204.242   <none>                                       10250/TCP                                                                          142d
vcluster--usdf-butler-main                 barman-cloud-x-cnpg-system-x-vcluster--usdf-butler-main           ClusterIP      10.110.110.119   <none>                                       9090/TCP                                                                           147d
vcluster--usdf-butler-main                 cnpg-webhook-service-x-cnpg-system-x-vcluster--usdf-butler-main   ClusterIP      10.104.18.131    <none>                                       443/TCP                                                                            147d
vcluster--usdf-butler-main                 gangway                                                           ClusterIP      10.98.86.232     <none>                                       8080/TCP                                                                           147d
vcluster--usdf-butler-main                 kube-dns-x-kube-system-x-vcluster--usdf-butler-main               ClusterIP      10.99.213.173    <none>                                       53/UDP,53/TCP,9153/TCP                                                             147d
vcluster--usdf-butler-main                 maindb-r-x-main-prod-x-vcluster--usdf-butler-main                 ClusterIP      10.110.120.132   <none>                                       5432/TCP                                                                           89d
vcluster--usdf-butler-main                 maindb-ro-x-main-prod-x-vcluster--usdf-butler-main                ClusterIP      10.104.186.77    <none>                                       5432/TCP                                                                           89d
vcluster--usdf-butler-main                 maindb-rw-x-main-prod-x-vcluster--usdf-butler-main                ClusterIP      10.108.108.148   <none>                                       5432/TCP                                                                           89d
vcluster--usdf-butler-main                 maindb-ss-rw-svc-x-main-prod-x-vcluster--usdf-butler-main         LoadBalancer   10.109.183.210   172.24.10.40                                 5432/TCP                                                                           90d
vcluster--usdf-butler-main                 maindb-ss-rw-x-main-prod-x-vcluster--usdf-butler-main             ClusterIP      10.99.137.156    <none>                                       5432/TCP                                                                           90d
vcluster--usdf-butler-main                 maindb-tx-rw-svc-x-main-prod-x-vcluster--usdf-butler-main         LoadBalancer   10.108.189.242   172.24.10.38                                 5432/TCP                                                                           90d
vcluster--usdf-butler-main                 maindb-tx-rw-x-main-prod-x-vcluster--usdf-butler-main             ClusterIP      10.104.34.181    <none>                                       5432/TCP                                                                           90d
vcluster--usdf-butler-main                 maindb-vc-x-main-prod-x-vcluster--usdf-butler-main                LoadBalancer   10.97.94.134     172.24.10.61                                 5432/TCP                                                                           90d
vcluster--usdf-butler-main                 metrics-server-x-kube-system-x-vcluster--usdf-butler-main         ExternalName   <none>           localhost                                    9001/TCP                                                                           147d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main                                        ClusterIP      10.100.166.234   <none>                                       443/TCP,10250/TCP                                                                  147d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-etcd                                   ClusterIP      10.97.80.155     <none>                                       2379/TCP,2380/TCP                                                                  147d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-etcd-headless                          ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  147d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc004                        ClusterIP      10.97.186.34     <none>                                       10250/TCP                                                                          26d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc009                        ClusterIP      10.103.97.205    <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc013                        ClusterIP      10.111.57.137    <none>                                       10250/TCP                                                                          9h
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc016                        ClusterIP      10.105.4.56      <none>                                       10250/TCP                                                                          48d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc018                        ClusterIP      10.103.64.46     <none>                                       10250/TCP                                                                          8h
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc024                        ClusterIP      10.111.215.79    <none>                                       10250/TCP                                                                          48d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc027                        ClusterIP      10.106.41.133    <none>                                       10250/TCP                                                                          34d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc029                        ClusterIP      10.96.150.63     <none>                                       10250/TCP                                                                          48d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc032                        ClusterIP      10.101.137.119   <none>                                       10250/TCP                                                                          33d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc036                        ClusterIP      10.101.215.81    <none>                                       10250/TCP                                                                          8h
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc048                        ClusterIP      10.105.89.151    <none>                                       10250/TCP                                                                          90d
vcluster--usdf-butler-main                 vcluster--usdf-butler-main-node-sdfk8sc052                        ClusterIP      10.102.192.7     <none>                                       10250/TCP                                                                          33d
vcluster--usdf-butler-misc                 barman-cloud-x-cnpg-system-x-vcluster--usdf-butler-misc           ClusterIP      10.99.59.231     <none>                                       9090/TCP                                                                           83d
vcluster--usdf-butler-misc                 cnpg-webhook-service-x-cnpg-system-x-vcluster--usdf-butler-misc   ClusterIP      10.107.44.82     <none>                                       443/TCP                                                                            83d
vcluster--usdf-butler-misc                 gangway                                                           ClusterIP      10.108.48.151    <none>                                       8080/TCP                                                                           83d
vcluster--usdf-butler-misc                 kube-dns-x-kube-system-x-vcluster--usdf-butler-misc               ClusterIP      10.99.55.28      <none>                                       53/UDP,53/TCP,9153/TCP                                                             83d
vcluster--usdf-butler-misc                 metrics-server-x-kube-system-x-vcluster--usdf-butler-misc         ExternalName   <none>           localhost                                    9001/TCP                                                                           83d
vcluster--usdf-butler-misc                 misc-db-r-x-misc-prod-x-vcluster--usdf-butler-misc                ClusterIP      10.97.135.186    <none>                                       5432/TCP                                                                           83d
vcluster--usdf-butler-misc                 misc-db-ro-x-misc-prod-x-vcluster--usdf-butler-misc               ClusterIP      10.107.18.117    <none>                                       5432/TCP                                                                           83d
vcluster--usdf-butler-misc                 misc-db-rw-x-misc-prod-x-vcluster--usdf-butler-misc               ClusterIP      10.101.195.213   <none>                                       5432/TCP                                                                           83d
vcluster--usdf-butler-misc                 misc-db-ss-rw-svc-x-misc-prod-x-vcluster--usdf-butler-misc        LoadBalancer   10.104.4.155     172.24.10.59                                 5432/TCP                                                                           83d
vcluster--usdf-butler-misc                 misc-db-ss-rw-x-misc-prod-x-vcluster--usdf-butler-misc            ClusterIP      10.111.48.219    <none>                                       5432/TCP                                                                           83d
vcluster--usdf-butler-misc                 misc-db-svc-to-remove-x-misc-prod-x-vcluster--usdf-butler-misc    LoadBalancer   10.102.191.244   172.24.5.70                                  5432/TCP                                                                           83d
vcluster--usdf-butler-misc                 misc-db-svc-x-misc-prod-x-vcluster--usdf-butler-misc              LoadBalancer   10.102.252.207   172.24.10.58                                 5432/TCP                                                                           83d
vcluster--usdf-butler-misc                 misc-db-tx-rw-svc-x-misc-prod-x-vcluster--usdf-butler-misc        LoadBalancer   10.106.193.193   172.24.10.60                                 5432/TCP                                                                           83d
vcluster--usdf-butler-misc                 misc-db-tx-rw-x-misc-prod-x-vcluster--usdf-butler-misc            ClusterIP      10.105.87.58     <none>                                       5432/TCP                                                                           83d
vcluster--usdf-butler-misc                 vcluster--usdf-butler-misc                                        ClusterIP      10.97.176.117    <none>                                       443/TCP,10250/TCP                                                                  83d
vcluster--usdf-butler-misc                 vcluster--usdf-butler-misc-etcd                                   ClusterIP      10.107.218.64    <none>                                       2379/TCP,2380/TCP                                                                  83d
vcluster--usdf-butler-misc                 vcluster--usdf-butler-misc-etcd-headless                          ClusterIP      None             <none>                                       2379/TCP,2380/TCP                                                                  83d
vcluster--usdf-butler-misc                 vcluster--usdf-butler-misc-node-sdfk8sc008                        ClusterIP      10.101.123.157   <none>                                       10250/TCP                                                                          16d
