❯ k get svc -A
NAMESPACE                                  NAME                                                              TYPE           CLUSTER-IP       EXTERNAL-IP                                  PORT(S)                                                                            AGE
monitoring-system                          traefik-sdfembs3101                                               ExternalName   <none>           172.24.7.249                                 8080/TCP                                                                           607d
monitoring-system                          traefik-sdfembs3102                                               ExternalName   <none>           172.24.7.247                                 8080/TCP                                                                           607d
monitoring-system                          traefik-sdfembs3201                                               ExternalName   <none>           172.24.7.250                                 8080/TCP                                                                           607d
monitoring-system                          traefik-sdfembs3202                                               ExternalName   <none>           172.24.7.248                                 8080/TCP                                                                           607d
monitoring-system                          weka-k8s01-export                                                 ClusterIP      10.109.43.229    <none>                                       8001/TCP                                                                           3y257d
monitoring-system                          weka-k8s01-quota                                                  ClusterIP      10.99.248.9      <none>                                       8101/TCP                                                                           3y257d
monitoring-system                          weka-sdfdata-export                                               ClusterIP      10.107.187.193   <none>                                       8001/TCP                                                                           3y39d
monitoring-system                          weka-sdfdata-quota                                                ClusterIP      10.98.57.68      <none>                                       8101/TCP                                                                           3y39d
monitoring-system                          weka-sdfhome-export                                               ClusterIP      10.110.160.21    <none>                                       8001/TCP                                                                           3y163d
monitoring-system                          weka-sdfhome-quota                                                ClusterIP      10.100.84.206    <none>                                       8101/TCP                                                                           3y163d
monitoring-system                          weka-sdfk8s-export                                                ClusterIP      10.100.170.246   <none>                                       8001/TCP                                                                           484d
monitoring-system                          weka-sdfk8s-quota                                                 ClusterIP      10.110.120.227   <none>                                       8101/TCP                                                                           484d
monitoring-system                          weka-sdfscratch-export                                            ClusterIP      10.101.50.175    <none>                                       8001/TCP                                                                           2y110d
monitoring-system                          weka-sdfscratch-quota                                             ClusterIP      10.101.188.223   <none>                                       8101/TCP                                                                           2y110d
node-feature-discovery                     nfd-node-feature-discovery-master                                 ClusterIP      10.103.31.55     <none>                                       8080/TCP                                                                           2y172d
nvidia-system                              gpu-operator                                                      ClusterIP      10.104.17.10     <none>                                       8080/TCP                                                                           406d
nvidia-system                              nvidia-dcgm-exporter                                              ClusterIP      10.100.162.63    <none>                                       9400/TCP                                                                           406d
prometheus-system                          prometheus-operated                                               ClusterIP      None             <none>                                       9090/TCP                                                                           376d
prometheus-system                          sdf-k8s01-kube-prometheus-coredns                                 ClusterIP      None             <none>                                       9153/TCP                                                                           376d
prometheus-system                          sdf-k8s01-kube-prometheus-kube-controller-manager                 ClusterIP      None             <none>                                       10257/TCP                                                                          376d
prometheus-system                          sdf-k8s01-kube-prometheus-kube-etcd                               ClusterIP      None             <none>                                       2381/TCP                                                                           376d
prometheus-system                          sdf-k8s01-kube-prometheus-kube-scheduler                          ClusterIP      None             <none>                                       10259/TCP                                                                          376d
prometheus-system                          sdf-k8s01-kube-prometheus-operator                                ClusterIP      10.97.93.82      <none>                                       443/TCP                                                                            376d
prometheus-system                          sdf-k8s01-kube-prometheus-operator-webhook                        ClusterIP      10.96.72.254     <none>                                       443/TCP                                                                            376d
prometheus-system                          sdf-k8s01-kube-prometheus-prometheus                              ClusterIP      10.111.58.124    <none>                                       9090/TCP,8080/TCP                                                                  376d
prometheus-system                          sdf-k8s01-kube-state-metrics                                      ClusterIP      10.105.78.108    <none>                                       8080/TCP                                                                           376d
prometheus-system                          sdf-k8s01-prometheus-node-exporter                                ClusterIP      10.109.91.95     <none>                                       9100/TCP                                                                           376d
s3dfrgw                                    s3dfrgw-alt                                                       LoadBalancer   10.99.134.28     172.24.5.184                                 443/TCP                                                                            2y68d
splunk-system                              splunk-otel-collector-chart-agent                                 ClusterIP      10.96.59.122     <none>                                       4317/TCP,4318/TCP                                                                  61d
vault--prod                                vault                                                             ClusterIP      10.107.190.228   <none>                                       443/TCP,8200/TCP,8201/TCP                                                          3y317d
vault--prod                                vault-0                                                           LoadBalancer   10.103.99.63     172.24.5.200                                 443/TCP,8200/TCP,8201/TCP                                                          3y317d
vault--prod                                vault-1                                                           LoadBalancer   10.99.157.53     172.24.5.201                                 8200/TCP,8201/TCP                                                                  3y317d
vault--prod                                vault-2                                                           LoadBalancer   10.103.246.246   172.24.5.202                                 8200/TCP,8201/TCP                                                                  3y317d
vault--prod                                vault-active                                                      ClusterIP      10.109.18.160    <none>                                       8200/TCP,8201/TCP                                                                  3y317d
vault--prod                                vault-agent-injector-svc                                          ClusterIP      10.101.15.212    <none>                                       443/TCP                                                                            3y317d
vault--prod                                vault-internal                                                    ClusterIP      None             <none>                                       8200/TCP,8201/TCP                                                                  3y317d
vault--prod                                vault-standby                                                     ClusterIP      10.105.83.37     <none>                                       8200/TCP,8201/TCP                                                                  3y317d
vcluster--accel-webapp-dev                 aosd-shift-reporting-backend-service-x-aosd-shift-re-e9afab5b7f   ClusterIP      10.108.26.151    <none>                                       80/TCP                                                                             692d
vcluster--accel-webapp-dev                 aosd-shift-reporting-frontend-service-x-aosd-shift-r-766e8388fa   ClusterIP      10.98.2.70       <none>                                       80/TCP                                                                             690d
vcluster--accel-webapp-dev                 api-documentation-viewer-service-x-api-documentation-609ad5c364   ClusterIP      10.100.36.30     <none>                                       80/TCP                                                                             687d
vcluster--accel-webapp-dev                 argocd-application-controller-metrics-x-argocd-x-vcl-81e3f4e4f9   ClusterIP      10.102.166.115   <none>                                       8082/TCP                                                                           2y214d
vcluster--accel-webapp-dev                 argocd-applicationset-controller-x-argocd-x-vcluster-29740b818d   ClusterIP      10.98.208.37     <none>                                       7000/TCP                                                                           2y214d
vcluster--accel-webapp-dev                 argocd-dex-server-x-argocd-x-vcluster--accel-webapp-dev           ClusterIP      10.111.151.17    <none>                                       5556/TCP,5557/TCP                                                                  2y214d
vcluster--accel-webapp-dev                 argocd-notifications-controller-metrics-x-argocd-x-v-36b1222e1d   ClusterIP      10.106.97.161    <none>                                       9001/TCP                                                                           2y214d
vcluster--accel-webapp-dev                 argocd-redis-metrics-x-argocd-x-vcluster--accel-webapp-dev        ClusterIP      None             <none>                                       9121/TCP                                                                           2y214d
vcluster--accel-webapp-dev                 argocd-redis-x-argocd-x-vcluster--accel-webapp-dev                ClusterIP      10.109.141.39    <none>                                       6379/TCP                                                                           2y214d
vcluster--accel-webapp-dev                 argocd-repo-server-metrics-x-argocd-x-vcluster--acce-79c9b2dbcf   ClusterIP      10.96.194.113    <none>                                       8084/TCP                                                                           2y214d
vcluster--accel-webapp-dev                 argocd-repo-server-x-argocd-x-vcluster--accel-webapp-dev          ClusterIP      10.107.175.28    <none>                                       8081/TCP                                                                           2y214d
vcluster--accel-webapp-dev                 argocd-server-metrics-x-argocd-x-vcluster--accel-webapp-dev       ClusterIP      10.105.247.56    <none>                                       8083/TCP                                                                           2y214d
vcluster--accel-webapp-dev                 argocd-server-x-argocd-x-vcluster--accel-webapp-dev               ClusterIP      10.107.77.4      <none>                                       80/TCP,443/TCP                                                                     2y214d
vcluster--accel-webapp-dev                 cbs-cluster-rs0-x-core-build-system-x-vcluster--acce-886e3d1e06   ClusterIP      None             <none>                                       27017/TCP                                                                          662d
vcluster--accel-webapp-dev                 cis-cluster-rs0-x-core-inventory-system-x-vcluster---0cec40b970   ClusterIP      None             <none>                                       27017/TCP                                                                          629d
vcluster--accel-webapp-dev                 core-build-system-service-x-core-build-system-x-vclu-967523ac58   ClusterIP      10.104.135.65    <none>                                       80/TCP                                                                             662d
